Datetime,Tweet Id,Text,Username
2023-01-01 17:21:52+00:00,1609600807439327233,"15 سال #PPP نے ان بسوں کو دانستہ طور پر خراب اور سڑنے کے لیے بس یارڈ میں کھڑا کیا تاکہ وہ کراچی والوں سے ووٹ نہ دینے کا بدلہ لے سکے، اب الیکشن سے پہلے کاسمیٹکس کام کر رہے ہیں اور کراچی والوں کو لالی پاپ دے رہے ہیں مگر کراچی والوںکو اب انہیں لات مارنی چاہئیں
#امپوڑٹڈ_حکومت_نامنظور",ShaziaAliQazi
2022-12-31 05:09:06+00:00,1609054014540218368,"کسی نے کیا خوب لکھا کہ بنگلہ دیش اتنی ترقی کیسے کر گیا؟

کیونکہ انہوں نے 1971 میں پاکستان کی اسٹیبلشمنٹ سے چھٹکارا حاصل کر لیا تھا۔
پاکستانیوں کی کروڑوں لعنتیں اس اسٹیبلشمنٹ کی تمام انگلی پچھلی نسلوں پر
،🇵🇰🇵🇰
#امپوڑٹڈ_حکومت_نامنظور #ImranKhanForPakistan
#قائد_انقلاب_عمران_خان",Sissy0o
2022-12-31 05:08:51+00:00,1609053953177649153,"کسی نے کیا خوب لکھا کہ بنگلہ دیش اتنی ترقی کیسے کر گیا؟

کیونکہ انہوں نے 1971 میں پاکستان کی اسٹیبلشمنٹ سے چھٹکارا حاصل کر لیا تھا۔
پاکستانیوں کی کروڑوں لعنتیں اس اسٹیبلشمنٹ کی تمام اگلی پچھلی نسلوں پر
،🇵🇰🇵🇰
#امپوڑٹڈ_حکومت_نامنظور #ImranKhanForPakistan
#قائد_انقلاب_عمران_خان",Sissy0o
2022-12-22 15:38:06+00:00,1605950816598179840,"#سازش_ہی_تھی #شکریہ_عمران_خان #امپوڑٹڈ_حکومت_نامنظور #سازش_ہی_تھی #شکریہ_عمران_خان #خان_تیری_جرأت_کو_سلام 
ہم کسی کو عمران خان کا کچھ نہیں کرنے دیں گے پیغام واضح ہے عمران خان کو کچھ ہوا تو کسی کو نہیں چھوڑیں گے",Faizansalim1122
2022-12-22 13:55:53+00:00,1605925091279355908,"امپوڑٹڈ حکومت اور اسکے ہینڈلرز کی مہربانیاں 
#امپوڑٹڈ_حکومت_نامنظور #کھا_گئے_سارا_پاکستان https://t.co/O1jEi9visB",AyeshaSandhuu
2022-12-21 14:37:53+00:00,1605573274200469504,"#IKToday 

چئیرمین عمران احمد نے آج میانوالی میں 200 بستروں پر مشتمل مدر اینڈ چائلڈ ہسپتال اور نرسنگ کالج کا افتتاح کردیا
#StarsEverywhere 
#ImranKhan 
#امپوڑٹڈ_حکومت_نامنظور https://t.co/GxZbblyZhV",M_zai_620
2022-12-19 17:36:49+00:00,1604893529410572296,"اتنی ترقی  کر لی ہے کہ اب ""ترک"" گئے ہیں 
#امپوڑٹڈ_حکومت_نامنظور",ayeshabanopti
2022-12-17 19:58:04+00:00,1604204301542338560,"چور #پی_ڈی_ایم کرپٹ ٹولہ چھپا رہا ہےکہ پاکستان مارچ2022 کے ریجیم چینج آپْریشَن کی وجہ سے بدترین مالی بحران کا شکار  ہو کر نادہندہ ہوگیا ہے جبکہ #PTI انتظار کر رہی ہے کہ کرپٹ ٹولے اس کا اعلان کریں۔
#امپوڑٹڈ_حکومت_نامنظور",ShaziaAliQazi
2022-12-17 19:56:43+00:00,1604203959849451520,"40 سالوں میں #چور_پی_ڈی_ایم ٹولے  نے پاکستان پر کسی نہ کسی طریقے سے حکومت کی ہے
یہ سرکاری ملازمین کو پیسہ کا لالچ دے کر ٹینڈرز، کمیشنوں، کک بیگز پر پیسے کی پیشکش کرتے ہیں
تب ہی ایک 17 گریڈ کا سرکاری ملازم اپنے گھر میں کروڑوں کی ایک سے زیادہ پجیرو رکھتا ہے 
#امپوڑٹڈ_حکومت_نامنظور https://t.co/p3eMdNJfpk",ShaziaAliQazi
2022-12-17 11:39:13+00:00,1604078761137549313,"ہم نکلے ہیں 
پاکستان کی خاطر
اپنے کپتان کی خاطر 
ریاستے مدینہ کی خاطر 
کرپٹ نظام بدلنے کی خاطر 
ارشد شریف شہید کی خاطر 
اپنی افواج پاکستان کی خاطر 
اپنے بچوں کے مستقبل کی خاطر 
#امپوڑٹڈ_حکومت_نامنظور
#کرپٹ_حکومت_ھٹاو _ملک_بچاو https://t.co/1gDW6on6wW",MianAamir22
2022-12-17 10:29:03+00:00,1604061101045473281,"@RealWaqarMaliks یہ ملک پاکستانی قوم کا ہے اور اس کے فیصلے بھی پاکستانی قوم کرے گی
پاکستان ذندہ باد 🇵🇰
#امپوڑٹڈ_حکومت_نامنظور",farzana61700149
2022-12-14 17:56:45+00:00,1603086607451578368,"عوام نواز شریف کی دوبارہ اقتدار کی خواہش کبھی پوری نہیں ہونے دیں گے ... اگر کبھی زندہ لوٹے تو اسے سڑکوں پر گھسیٹیں!!

#امپوڑٹڈ_حکومت_نامنظور",ShaziaAliQazi
2022-12-14 17:46:36+00:00,1603084050712993795,"شکر ہے کہ مان لیا کہ نواز و شہباز شریف جعلی اور فراڈیے ہے ....  😂😂😂 
#امپوڑٹڈ_حکومت_نامنظور https://t.co/n7MkBEIBZV",ShaziaAliQazi
2022-12-14 09:59:59+00:00,1602966625677983744,اپنے کپتان کے حکم پر ملک میں بھڑتی ہوئی مہنگائی بے روزگاری اور کرپٹ  #امپوڑٹڈ_حکومت_نامنظور کے خلاف #حکومت_ہٹاو_ملک_بچاو_ ریلی کی قیادت کرتے ہوئے https://t.co/rVKhNMfemM,MianAamir22
2022-12-14 04:17:13+00:00,1602880365177507840,"@ShahzadGill202 انہوں نے 30 سال پاکستان کو کھایا لیکن سازشی 75 سال سے پاکستان کو کھا گئے اور کہتے ہیں کہ ہمیں پاکستان کو کھانے کا 75 سال کا تجربہ ہے۔ 
#چور_ہٹاؤ_ملک_بچاؤ #قوم_کا_ہیرو_عادل_راجہ #عادل_وفادار_راجہ #عادل_راجہ_سچا #امپوڑٹڈ_حکومت_نامنظور",Faizansalim1122
